Title,Release Year,Locations,Latitude,Longitude,Director,Writer,Actor 1,Actor 2,Actor 3,Address,Full Address,color,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,Genre,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,language,country,content_rating,budget,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,MTW Status,,genres,imdb_score
Dream with the Fishes,1997,Bay Bridge,37.8194,-122.342,Finn Taylor,Finn Taylor & Jeffrey Brown,David Arquette,Brad Hunt,,"Bay Bridge San Francisco California,",,Color,28,97,4,301,Cathy Moriarty,611,464655,Comedy,David Arquette,Dream with the Fishes,1524,1692,Kathryn Erbe,English,USA,R,1000000,394,12.2,1.85,166,Matching,,Comedy,12.2
The Rock,1996,Alcatraz Island,37.8271782,-122.4251237,Michael Bay,David Weisberg,Sean Connery,Nicolas Cage,,"Alcatraz Island San Francisco California,","37.8271782,-122.4251243",Color,122,136,0,904,Michael Biehn,12000,134006721,Action,Nicolas Cage,The Rock,259492,15999,Bokeem Woodbine,English,USA,R,75000000,2000,13.2,2.35,51000,Matching,,Action,13.2
Phenomenon,1996,Treasure Island,37.82335,-122.37,Jon Turteltaub,Gerald Dipego,John Travolta,Kyra Sedgwick,,"Treasure Island San Francisco California,",,Color,53,123,226,796,Kyra Sedgwick,3000,104632573,Drama,Robert Duvall,Phenomenon,63839,5975,David Gallagher,English,USA,PG,32000000,941,6.4,2.35,0,Matching,,Drama,6.4
Copycat,1995,82 & 67 Rico Way (Marina District),37.80298,-122.437,Jon Amiel,Ann Biderman,Sigourney Weaver,Holly Hunter,,"Marina District San Francisco California,",,Color,57,123,36,631,Holly Hunter,10000,32051917,Crime,William McNamara,Copycat,42315,12338,Harry Connick Jr.,English,USA,R,20000000,1000,11.7,2.35,0,Matching,,Crime,11.7
The Net,1995,Montgomery & Market Streets,37.78748,-122.401,Irwin Winkler,John Brancato,Sandra Bullock,Jeremy Northam,,"Montgomery San Francisco California,",,Color,53,114,34,287,Jeremy Northam,649,50728000,Action,Ken Howard,The Net,48909,1725,Ray McKinnon,English,USA,PG-13,22000000,327,5.8,1.85,0,Matching,,Action,5.8
Interview With The Vampire,1994,100 Market Street at 6th Street,37.780858,-122.408585,Neil Jordan,Anne Rice,Brad Pitt,Christian Slater,Tom Cruise,"100 Market Street San Francisco California,",,Color,120,123,277,4000,Tom Cruise,11000,105264608,Drama,Brad Pitt,Interview with the Vampire: The Vampire Chronicles,239752,25697,Kirsten Dunst,English,USA,R,60000000,10000,7.6,1.85,11000,Matching,,Drama,7.6
Forrest Gump,1994,Palace of Fine Arts (3301 Lyon Street),37.80292,-122.448,Robert Zemeckis,Eric Roth,Tom Hanks,Robin Wright,,"Palace of Fine Arts San Francisco California,",, Black and White,149,142,0,194,Siobhan Fallon Hogan,15000,329691196,Comedy,Tom Hanks,Forrest Gump,1251222,15700,Sam Anderson,English,USA,PG-13,55000000,294,8.8,2.35,59000,Matching,,Comedy,8.8
Mrs. Doubtfire,1993,100 Embarcadero Street,37.795161,-122.395698,Chris Columbus,Randi Mayem Singer,Robin Williams,Sally Field,Pierce Brosnan,"100 Embarcadero Street San Francisco California,",,Color,57,125,0,711,Mara Wilson,49000,219200000,Comedy,Robin Williams,Mrs. Doubtfire,181380,52201,Matthew Lawrence,English,USA,PG-13,25000000,1000,6.9,2.35,0,Matching,,Comedy,6.9
Memoirs of an Invisible Man,1992,St. Elizabeth Apartment House (901 Powell Street at Sacramento),37.79428,-122.41,John Carpenter,Robert Collector,Chevy Chase,Daryl Hannah,Sam Neill,"901 Powell Street San Francisco California,",,Color,40,99,0,402,Michael McKean,782,14358033,Comedy,Richard Epcar,Memoirs of an Invisible Man,17365,2125,Patricia Heaton,English,USA,PG-13,40000000,658,5.9,2.35,630,Matching,,Comedy,5.9
Star Trek VI: The Undiscovered Country,1991,Golden Gate Bridge,37.83029,-122.48,Nicholas Meyer,Nimoy,William Shatner,Leonard Nimoy,George Takei,"Golden Gate Bridge San Francisco California,",,Color,112,110,120,664,Kurtwood Smith,12000,74888996,Action,Leonard Nimoy,Star Trek VI: The Undiscovered Country,55513,16230,Nichelle Nichols,English,USA,PG,30000000,1000,7.2,2.35,0,Matching,,Action,7.2
Indiana Jones and the Last Crusade,1989,Administration Building (Treasure Island),37.82335,-122.37,Steven Spielberg,Jeffrey Boam,Harrison Ford,Sean Connery,,"Treasure Island San Francisco California,",,Color,149,127,14000,440,Julian Glover,11000,197171806,Action,Harrison Ford,Indiana Jones and the Last Crusade,515306,12884,Alison Doody,English,USA,PG-13,48000000,844,8.3,2.35,0,Matching,,Action,8.3
Star Trek IV: The Voyage Home,1986,500 Block of Pacific Avenue (Chinatown),37.7943,-122.406,Leonard Nimoy,Steve Meerson,William Shatner,Leonard Nimoy,George Takei,"Chinatown San Francisco California,",,Color,106,119,12000,643,Nichelle Nichols,12000,109713132,Adventure,Leonard Nimoy,Star Trek IV: The Voyage Home,61621,15449,Walter Koenig,English,USA,PG,25000000,664,7.3,2.35,0,Matching,,Adventure,7.3
A View to a Kill,1985,"Burger Island (901 3rd Street, China Basin)",37.77946,-122.394,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts,"901 3rd Street San Francisco California,",,Color,108,131,46,433,Alison Doody,1000,50300000,Action,Patrick Macnee,A View to a Kill,68565,2943,Tanya Roberts,English,UK,PG,30000000,439,6.3,2.35,0,Matching,,Action,6.3
