Title,Release Year,Locations,Latitude,Longitude,Director,Writer,Actor 1,Actor 2,Actor 3,Address,Full Address
Invasion of the Body Snatchers,1978,1227 Montgomery Street (Telegraph Hill),37.79538,-122.403,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,Brooke Adams,"1227 Montgomery Street San Francisco California,",
"Murder in the First, Season 2",2015,1243 19th Street,37.76044,-122.416,Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,"1243 19th Street San Francisco California,",
Looking Season 2,2015,1246 Folsom Street,37.78918,-122.392,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,"1246 Folsom Street San Francisco California,",
"Looking ""Special""",2016,1246 Folsom Street,37.78918,-122.392,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,"1246 Folsom Street San Francisco California,",
"Murder in the First, Season 1",2014,13 Lucky Street,37.75094,-122.413,Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,"13 Lucky Street San Francisco California,",
"Smile Again, Jenny Lee",2015,1328 Portola,37.72638,-122.409,Carlo Caldana,Linda Demetrick,Craig Tsuyumine,Puneet Prasad,Larry Kitagawa,"1328 Portola San Francisco California,",
GirlBoss,2017,1375 Haight St.,37.77016,-122.446,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea,"1375 Haight St. San Francisco California,",
Getting Even with Dad,1994,140 Maiden Lane,37.78804,-122.407,Howard Deutch,Tom S. Parker,Macaulay Culkin,Ted Danson,,"140 Maiden Lane San Francisco California,",
Looking Season 2 ep 202,2015,1400 16th Street,37.76568,-122.41,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,"1400 16th Street San Francisco California,",
"Murder in the First, Season 2",2015,1400 16th Street,37.76568,-122.41,Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,"1400 16th Street San Francisco California,",
Burglar,1987,1400 18th Street,37.76279,-122.393,Hugh Wilson,Joseph Loeb III,Whoopi Goldberg,Bobcat Goldwait,,"1400 18th Street San Francisco California,",
Bitter Melon,2018,145 9th St,37.77047,-122.407,H.P. Mendoza,H.P. Mendoza,Jon Norman Schneider,Patrick Epino,Brian Rivera,"145 9th St San Francisco California,",
Chance- Season 1 ep107,2016,145 Barlett St.,39.78373,-100.446,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie,Gretchen Mol,Ethan Suplee,"145 Barlett St. San Francisco California,",
Cardinal X,2015,1458 33rd Ave.,37.76475,-122.492,Annie Wang,Annie Wang,Annie Q,Francesca Eastwood,Pierson Fode,"1458 33rd Ave. San Francisco California,",
Chance- Season 1 ep107,2016,1461 Page St.,37.77137,-122.444,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie,Gretchen Mol,Ethan Suplee,"1461 Page St. San Francisco California,",
So I Married an Axe Murderer,1993,"1462 Grant Avenue, at Union Street",37.80053,-122.407,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,,"1462 Grant Avenue San Francisco California,",
Cardinal X,2015,1465 Revere Avenue between Keith and Jennings,37.73591,-122.398,Annie Wang,Annie Wang,Annie Q,Francesca Eastwood,Pierson Fode,"1465 Revere Avenue  San Francisco California,",
"Play it Again, Sam",1972,15-17 Fresno Street,37.7986,-122.406,Herbert Ross,Woody Allen,Woody Allen,Diane Keaton,Tony Roberts,"15 Fresno Street San Francisco California,",
When a Man Loves a Woman,1994,1521 Masonic Avenue at Piedmont Street,37.78531,-122.448,Luis Mandoki,Ronald Bass,Andy Garcia,Meg Ryan,,"1521 Masonic Avenue  San Francisco California,",
Quitters,2015,1536 Noe St.,37.76667,-122.433,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,"1536 Noe St. San Francisco California,",
"Murder in the First, Season 1",2014,1541 Grove Street,37.77585,-122.439,Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,"1541 Grove Street San Francisco California,",
Cardinal X,2015,1559 Underwood Avenue between Lane and Keith,37.72564,-122.385,Annie Wang,Annie Wang,Annie Q,Francesca Eastwood,Pierson Fode,"1559 Underwood Avenue  San Francisco California,",
Chance- Season 1 ep107,2016,157 Commonwealth,37.78137,-122.456,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie,Gretchen Mol,Ethan Suplee,"157 Commonwealth San Francisco California,",
Chance- Season 1 ep104,2016,15th St. between Vermont and Kansas,37.76601,-122.431,Carl Franklin,Peter Elkoff,Hugh Laurie,Gretchen Mol,Ethan Suplee,"15th St San Francisco California,",
Looking Season 2 ep 205,2015,160 Church Street,37.7565,-122.428,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,"160 Church Street San Francisco California,",
Cardinal X,2015,1601 Lane St.,37.72823,-122.393,Annie Wang,Annie Wang,Annie Q,Francesca Eastwood,Pierson Fode,"1601 Lane St. San Francisco California,",
Burglar,1987,1627 Haight Street,37.77016,-122.446,Hugh Wilson,Joseph Loeb III,Whoopi Goldberg,Bobcat Goldwait,,"1627 Haight Street San Francisco California,",
"Budding Prospects, Pilot",2017,1641 York Street,37.74826,-122.408,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)",Adam Rose,Will Sasso,Joel David Moore,"1641 York Street San Francisco California,",
A Taiwanese Tale of Two Cities,2018,1653 Haight and 1400-1500 blocks of Haight St,37.77016,-122.446,Tien-Lun Yeh,"Ling-Hui Chen, Nancy Chen, Chih-Chi Fan, Chia-Hui Lin",Tammy Cheng,Peggy Tseng,Shen-Hao Wen,"1653 Haight St San Francisco California,",
Terminator - Genisys,2015,16th and Utah,37.7793,-122.398,Alan Taylor,James Cameron,Arnold Schwarzenegger,Jason Clarke,,"Utah San Francisco California,",
The OA Part II,2019,16th Avenue Steps,39.78373,-100.446,Zal Batmanglij,"Zal Batmanglij, Brit Marling",Brit Marling,Emory Cohen,Patrick Gibson,"16th Avenue Steps San Francisco California,",
Sense8,2015,16th St.,37.76568,-122.41,The Wachowskis,The Wachowskis,Jamie Clayton,,,"16th St. San Francisco California,",
"Looking ""Special""",2016,17th & Market Street,37.79325,-122.396,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,"Market Street San Francisco California,",
Chance- Season 1 ep103,2016,17th and Arkansas,37.76373,-122.399,Michael Lehmann,Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee,"Arkansas San Francisco California,",
Chance- Season 1 ep110,2016,18 Urbano,37.72339,-122.467,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie,Gretchen Mol,Ethan Suplee,"18 Urbano San Francisco California,",
Joy Luck Club,1993,180 Manchester Street,37.7451,-122.414,Wayne Wang,Amy Tan,Kieu Chinh,Tsai Chin,France Nuyen,"180 Manchester Street San Francisco California,",
Woman on the Run,1950,1801 Laguna at Bush,39.78373,-100.446,Norman Foster,Norman Foster,Ann Sheridan,Dennis O'Keefe,Robert Keith,"1801 Laguna at Bush San Francisco California,",
"Murder in the First, Season 1",2014,1821 Alabama Street,37.74375,-122.41,Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,"1821 Alabama Street San Francisco California,",
Looking,2014,1890 Clay St.,37.79531,-122.398,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,"1890 Clay St. San Francisco California,",
Beautiful Boy,2018,18th St at San Bruno Ave.,37.73254,-122.406,Felix van Groeningen,Luke Davies,Steve Carell,Timothee Chalamet,Maura Tierney,"San Bruno Ave. San Francisco California,",
Sense8,2015,18th Street between Guerrero and Valencia Streets,37.76077,-122.421,The Wachowskis,The Wachowskis,Jamie Clayton,,,"Valencia Street San Francisco California,",
Magnum Force,1973,18th Street Overpass (Potrero Hill),37.76279,-122.393,Ted Post,John Milius,Clint Eastwood,Hal Holbrook,Mitchell Ryan,"18th Street  San Francisco California,",
Edtv,1999,19 Green Street (North Beach),37.79921,-122.411,Ron Howard,Lowell Ganz,Matthew McConaughey,Jenna Elfman,,"19 Green Street San Francisco California,",
Chance- Season 1 ep110,2016,1901 Ocean Ave. at Ashton Ave.,37.73091,-122.472,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie,Gretchen Mol,Ethan Suplee,"1901 Ocean Ave San Francisco California,",
The Dead Pool,1988,1954 Mason Street (North Beach),37.80498,-122.449,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,Patricia Clarkson,"1954 Mason Street San Francisco California,",
Chance- Season 1 ep107,2016,1958 Valencia St.,37.76077,-122.421,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie,Gretchen Mol,Ethan Suplee,"1958 Valencia St. San Francisco California,",
Love & Taxes,2014,198 Gough Street,37.79006,-122.426,Jacob Kornbluth,Jacob Kornbluth,Jacob Kornbluth,,,"198 Gough Street San Francisco California,",
Stigmata,1999,19th and Kansas St.,37.75324,-122.402,Rupert Wainwright,Tom Lazarus,Patricia Arquette,Gabriel Byrne,,"19th and Kansas St. San Francisco California,",
Always Be My Maybe,2019,19th Ave Home,39.78373,-100.446,Nahnatchka Khan,"Michael Golamco, Randall Park, Ali Wong",Ali Wong,Randall Park,Keanu Reeves,"19th Ave Home San Francisco California,",
Chance- Season 1 ep106,2016,2 Rowland,37.79766,-122.405,Sara Gran,Dan Attias,Hugh Laurie,Gretchen Mol,Ethan Suplee,"2 Rowland San Francisco California,",
Love & Taxes,2014,20 Hill Street,37.7561,-122.421,Jacob Kornbluth,Jacob Kornbluth,Jacob Kornbluth,,,"20 Hill Street San Francisco California,",
180,2011,200 block Market Street,37.79325,-122.396,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba",Siddarth,Nithya Menon,Priya Anand,"200 Market Street San Francisco California,",
The Presidio,1988,200 Block of Sansome Street (Financial District),37.79223,-122.401,Peter Hyams,Larry Ferguson,Sean Connery,Mark Harmon,Meg Ryan,"200 Sansome Street San Francisco California,",
Chance- Season 1 ep104,2016,200 Kansas St.,37.76678,-122.404,Carl Franklin,Peter Elkoff,Hugh Laurie,Gretchen Mol,Ethan Suplee,"200 Kansas St. San Francisco California,",
Blue Jasmine,2013,200 Post St.,37.78881,-122.404,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,"200 Post St. San Francisco California,",
Looking,2014,2000 Folsom,37.76483,-122.416,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,"2000 Folsom San Francisco California,",
"Budding Prospects, Pilot",2017,2007 Franklin Street,37.79328,-122.425,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)",Adam Rose,Will Sasso,Joel David Moore,"2007 Franklin Street San Francisco California,",
On the Road,2012,2017 23rd Street,37.75437,-122.405,Walter Salles,Jack Kerouac & Jose Rivera,Garrett Hedlund,Viggo Mortenson,,"2017 23rd Street San Francisco California,",
The Lineup,1958,2090 Jackson Street,37.79631,-122.404,Don Siegel,Stirling Silliphant,Eli Wallach,Robert Keith,Richard Jaeckel,"2090 Jackson Street San Francisco California,",
Sense8,2015,20th,37.77928,-122.419,The Wachowskis,The Wachowskis,Jamie Clayton,,,"20th San Francisco California,",
Edtv,1999,20th & Connecticut Streets (Potrero Hill),37.76124,-122.397,Ron Howard,Lowell Ganz,Matthew McConaughey,Jenna Elfman,,"Connecticut Street San Francisco California,",
The Dead Pool,1988,20th & De Haro Streets (Potrero Hill),39.78373,-100.446,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,Patricia Clarkson,"De Haro Streets San Francisco California,",
Bullitt,1968,20th & Vermont Streets (Potrero Hill),37.75855,-122.404,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Robert Vaughn,"Vermont Street San Francisco California,",
A Jitney Elopement,1915,20th and Folsom Streets,39.78373,-100.446,Charles Chaplin,Charles Chaplin,Charles Chaplin,Edna Purviance,,"20th and Folsom Streets San Francisco California,",
Summertime,2015,20th St and Church (3885 20th St),37.75749,-122.438,Gabriele Muccino,Gabriele Muccino,Jessica Rothe,Scott Bakula,Matilda Anna Ingrid Lutz,"3885 20th St San Francisco California,",
Americana,2015,20th St and Illinois/Faxon St. and Kenwood/Glenbrook at Mt. Springs,37.75749,-122.438,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,"20th St San Francisco California,",
Chance Season 2,2017,20th St between Church and Dolores St,37.74149,-122.424,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,"Dolores St San Francisco California,",
Doctor Dolittle,1998,2100 Green Street,37.79921,-122.411,Betty Thomas,Nat Mauldin,Eddie Murphy,Ossie Davis,,"2100 Green Street San Francisco California,",
"Smile Again, Jenny Lee",2015,2100 Pacific Ave at Laguna St,37.79089,-122.453,Carlo Caldana,Linda Demetrick,Craig Tsuyumine,Puneet Prasad,Larry Kitagawa,"2100 Pacific Ave San Francisco California,",
Basic Instinct,1992,2104 Broadway,37.79584,-122.423,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza,"2104 Broadway San Francisco California,",
Doctor Dolittle,1998,2107 Union Street,37.79774,-122.43,Betty Thomas,Nat Mauldin,Eddie Murphy,Ossie Davis,,"2107 Union Street San Francisco California,",
Blue Jasmine,2013,2178 Palou Ave.,37.73409,-122.391,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,"2178 Palou Ave. San Francisco California,",
Blue Jasmine,2013,2179 48th Ave,37.74559,-122.507,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,"2179 48th Ave San Francisco California,",
Magnum Force,1973,2190 Washington Street (Pacific Heights),37.79561,-122.403,Ted Post,John Milius,Clint Eastwood,Hal Holbrook,Mitchell Ryan,"2190 Washington Street San Francisco California,",
